iter	Passed	Remaining
0	126	126544
1	130	64961
2	132	44161
3	135	33622
4	137	27263
5	139	23032
6	139	19858
7	141	17535
8	142	15660
9	144	14259
10	145	13102
11	147	12120
12	148	11275
13	149	10543
14	150	9905
15	151	9314
16	152	8815
17	153	8373
18	154	7972
19	155	7609
20	156	7282
21	157	6984
22	157	6710
23	158	6458
24	159	6221
25	160	5997
26	160	5792
27	161	5601
28	162	5424
29	162	5261
30	163	5105
31	163	4957
32	164	4817
33	164	4686
34	165	4564
35	166	4445
36	166	4333
37	167	4229
38	167	4129
39	168	4036
40	168	3948
41	169	3863
42	170	3785
43	170	3708
44	171	3635
45	171	3563
46	172	3492
47	172	3426
48	173	3361
49	173	3300
50	174	3241
51	174	3183
52	175	3128
53	175	3075
54	176	3024
55	176	2976
56	177	2929
57	177	2885
58	178	2841
59	178	2797
60	179	2756
61	179	2715
62	179	2676
63	180	2638
64	180	2601
65	181	2566
66	181	2531
67	182	2499
68	183	2469
69	183	2439
70	184	2409
71	184	2380
72	185	2351
73	185	2323
74	186	2296
75	186	2269
76	187	2243
77	187	2217
78	188	2191
79	188	2167
80	188	2143
81	189	2119
82	189	2094
83	190	2072
84	190	2051
85	190	2029
86	191	2009
87	191	1988
88	192	1969
89	192	1949
90	193	1930
91	193	1911
92	194	1893
93	194	1875
94	195	1858
95	195	1841
96	195	1824
97	196	1807
98	196	1791
99	197	1776
100	197	1762
101	198	1747
102	198	1732
103	199	1718
104	200	1704
105	200	1690
106	200	1677
107	201	1663
108	201	1650
109	202	1637
110	202	1624
111	203	1611
112	203	1599
113	204	1586
114	204	1574
115	205	1562
116	205	1550
117	205	1538
118	206	1527
119	206	1516
120	207	1505
121	207	1493
122	208	1483
123	208	1472
124	208	1462
125	209	1452
126	209	1441
127	210	1431
128	210	1422
129	211	1412
130	211	1402
131	212	1394
132	212	1385
133	213	1377
134	213	1369
135	214	1361
136	214	1352
137	215	1344
138	215	1336
139	216	1328
140	216	1320
141	217	1311
142	217	1303
143	217	1295
144	218	1287
145	218	1280
146	219	1272
147	219	1265
148	220	1257
149	220	1250
150	221	1243
151	221	1236
152	222	1229
153	222	1221
154	222	1214
155	223	1208
156	223	1201
157	224	1194
158	224	1188
159	225	1181
160	225	1174
161	225	1168
162	226	1162
163	226	1156
164	227	1150
165	228	1146
166	228	1140
167	229	1135
168	229	1129
169	230	1124
170	230	1118
171	231	1113
172	231	1107
173	232	1101
174	232	1096
175	233	1091
176	233	1085
177	233	1080
178	234	1075
179	234	1070
180	235	1065
181	235	1059
182	236	1054
183	236	1049
184	237	1044
185	237	1040
186	238	1035
187	238	1030
188	239	1025
189	239	1020
190	239	1016
191	240	1011
192	240	1006
193	241	1002
194	241	997
195	242	993
196	242	989
197	243	985
198	243	981
199	244	977
200	244	973
201	245	969
202	246	965
